,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,装修描述,售房详情,税费解析,适宜人群,权属抵押,别墅类型,交通出行,用水类型,用电类型,燃气价格
18,金洲花城 精装修 中间楼层 拎包入住,120万,12904,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共16层),93㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"核卖点：
高楼层，视野开阔，采光充足，交通便利",,"户型介绍：
楼层好，采光充足，配套齐全，四室两厅一厨两卫，客厅带阳台，视野开阔",,,"售房详情：
房东处理财产，诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，请放心考虑。","税费解析：
1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税",,,,,,,
19,泰富嘉园 3室1厅 南,210万,16031,钟楼区邹区,泰富嘉园,3室1厅1厨2卫,高楼层 (共18层),131㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
20,名城嘉苑，精装舒适小户型，南北通风，采光好,140万,14584,钟楼区邹区,名城嘉苑,2室2厅1厨1卫,中楼层 (共10层),96㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,此房为精装舒适小户型，边户，南北通风，采光好，前排别墅区,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,此房户型方正，南北通风，光线良好，十分适合居住！业主准备迁居，低于市场价出售,生活便利：小区内有商铺，合理分布便利，购买生活用品及买菜十分便利，小区内还有其他生活配套店铺，生活十分便利,,,,,,,,,,
21,好位置 前排无遮挡 金洲花城 俩室一卫,120万,13044,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),92㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位,,,,,,,,,,
22,精装欧式风格，楼层好，视野开阔，交通便利，采光充足,160万,17709,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),90.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装欧式风格，楼层好，视野开阔，交通便利，采光充足,,楼层好，采光充足，配套齐全，两室二厅一厨一卫。客厅带阳台，视野开阔,,,产权清晰，无纠纷； 房东置换，诚心出售， 看房方便，看中即签！ 随时恭候您的来电,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
23,金洲花城，南北通风，优质户型，全天采光无遮挡,120万,13044,钟楼区邹区,金洲花城,2室2厅1厨1卫,中楼层 (共11层),92㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,,,,,,,,
24,业主精装自住房，目前空置，优质户型，全天采光无遮挡,140万,11383,钟楼区邹区,金洲花城,3室2厅1厨1卫,中楼层 (共11层),123㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,3居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
25,不的了，不的了房东诚心出售价格可谈,96万,10304,钟楼区邹区,金洲花城,2室2厅1厨1卫,低楼层 (共11层),93.17㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，目前空置，优质户型，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住 　小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,
26,包含车位！急售！急售！樾棠花园 三室俩卫 有钥匙在手,155万,13136,钟楼区邹区,樾棠花园,3室2厅1厨2卫,中楼层 (共29层),118㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元 农业银行 业主自还,未上传房本照片,包含车位！价格有优势，户型方正楼层好，视野开阔充足采光，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
27,泰富嘉园 3室2厅 南,200万,13450,钟楼区邹区,泰富嘉园,3室2厅1厨2卫,低楼层 (共18层),148.7㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,精装,两梯三户,有,暂无数据,2023-11-13,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,
28,泰富嘉园二期精装修 两室两厅一厨一卫 家电家具齐全,120万,14507,钟楼区邹区,泰富嘉园,2室1厅1厨1卫,高楼层 (共18层),82.72㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局方正 楼层好 采光好 交通便利 家电家具齐全,,好楼层 无遮挡 采光好 户型方正 空间好设计合理无任何浪费空间,小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，小区外有公园环境优美,,,,,此房目前为无抵押状态 可随时出手 房东心态很稳，您无需担心房东跳价问题！,,,,,
29,金洲花城 少有的三室俩卫 精装家电家具,142万,11452,钟楼区邹区,金洲花城,3室2厅1厨2卫,低楼层 (共17层),124㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正楼层好，视野开阔充足采光，配套设施齐全，,小区内多层，高层都带有电梯，方便业主的上、下楼的出入。产品种类多，有别墅，多层，高层，可以满足不同的业主需求。有内外商铺，方便业主生活，满足业主的一切吃、喝、玩、乐。安保设施完善,,配备大型商场——泰富时代广场、时代金街和东方大道餐饮一条街，休闲区有有光公园和体育广场，生活配套齐全，出入便利，银行、医院设施齐全，属于成熟小区，适宜居位。,,,,,,,,,,
30,泰富嘉园 4室2厅 南,238万,16963,钟楼区邹区,泰富嘉园,4室2厅1厨2卫,中楼层 (共18层),140.31㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-04,商品房,2016-03-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,
31,金洲花城 精装修3房 高楼层 采光好 配套齐全,165万,14001,钟楼区邹区,金洲花城,3室2厅1厨1卫,高楼层 (共11层),117.85㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-08,商品房,2016-08-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型方正 三室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民小使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,
32,那想卖又纠结价格的金洲花城房东,148万,11213,钟楼区邹区,金洲花城,3室2厅1厨2卫,中楼层 (共11层),132㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房原房东自住房保养好，户型方正得房率高，留精装家电家具。,五证齐全，可做银行按揭，首付低，月供压力小。小区活动空间大，采光好。小区多层，高层都带有电梯，方便业主的上、下楼的出入。。,,.附件教育、医疗、便利店齐全，小区有内外铺，方便了业主的生活，可以满足业主的一切吃、喝、玩、乐。,,房东现在搬到离孩子上学近的地方，这边便空置下来了，目前正在搬家，后期随时看房,,,,,,,,
33,泰富嘉园，优质户型，南北通风，双阳台，精装自住,198万,13027,钟楼区邹区,泰富嘉园,4室2厅1厨2卫,低楼层 (共18层),152㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为业主精装自住房，优质户型，全天采光无遮挡，南北通风,环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调,客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,配套：全民健身设施齐全；公园，医院，中国银行、中国农业银行。该小区属于普通住宅，南北户型，采光好，主体朝东对小区花园，无遮挡，格局好，动静分开。 布局合理,,,,,,,,,,
34,金洲花城，边户，大院子，毛坯，带露台，优质户型,800万,20888,钟楼区邹区,金洲花城,6室2厅1厨3卫,低楼层 (共2层),383㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-12-31,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房为业主改善房，毛坯带露台，带院子，随时看,小区环境优雅，深厚的文化底蕴，方正格局，无任何浪费空间，房本产权清晰，无任何抵押可随时过户,大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满,交通十分方便，快捷！配套：全民健身设施齐全；公园，医院，中国银行、中国农业银行,,,,,,暂无数据,,,,
35,星光城二期，优质户型，前排，全天采光无遮挡，,175万,14899,钟楼区邹区,嘉宏MOOC星光城,3室2厅1厨2卫,低楼层 (共30层),117.46㎡,暂无数据,暂无数据,板塔结合,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-02,商品房,2023-02-25,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房为业主毛坯房，优质户型，中上楼层，全天采光无遮挡,采光无遮挡，低总价，此房户型方正，南北通风，光线良好，适合居住,居户型，大客厅，流畅的落地大阳台，全飘窗设计，宽敞舒适，采光优良，全日阳光满满，小区环境优雅，深厚的文化底蕴，方正格局,环境按照规划整理后，环境优美！1. 环境优美：小区安静优雅，绿化较好，带有休闲设施，周末可在小区花园游玩，十分有情调。,,,,,,,,,,
36,金洲花城 3室2厅 东南,155万,11773,钟楼区邹区,金洲花城,3室2厅1厨2卫,中楼层 (共11层),131.66㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
37,泰富嘉园 3室1厅 北 南,155万,13136,钟楼区邹区,泰富嘉园,3室1厅1厨2卫,中楼层 (共18层),118㎡,暂无数据,暂无数据,板楼,北 南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,
