,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,适宜人群,装修描述,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
10,天街旁新城香悦半岛 新城物业 采光好 楼层好,105万,12111,钟楼区五星,新城香悦半岛北区,2室2厅1厨1卫,中楼层 (共34层),86.7㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,格局方正 诚心出售 价格实惠 配套设施齐全 交通便利,区地理位置佳，绿化好，居民素质高，有健身器材，活动场所，建有地上停车场和地下停车库，停车位充足，二十四保安巡逻，菜场银行等配套设施齐全，生活方便快捷。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,交通：有公交和高架，交通便捷，出行方便，配套设施齐全生活便利，十分适合居住生活。,,,,,,,,
11,视野宽阔，采光充足，交通便利，配套设施齐全,66万,10929,钟楼区五星,西新桥二村,3室1厅1厨1卫,中楼层 (共4层),60.39㎡,平层,暂无数据,塔楼,东,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-02-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,视野宽阔，采光充足，交通便利，配套设施齐全,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,此房产权清晰，无抵押，无贷款，可拎包入住。可随时签约。欢迎看房,,,,,,,,,
12,新城首  府公寓  一室一厅  房东诚心出售,40万,9831,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,中楼层 (共21层),40.67㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯五十户,有,暂无数据,2024-01-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,国际公寓位于西新桥，交通便利，B R T相邻，70年产权,,,,,,,公交出行，乘B12，B1，36，40，1，205路等公交车在万福桥下车即可。,公寓适合老年人养老，配套设施齐全。 小情侣居住也合适，民用水电，权益和正常住宅一样,公寓精装修，设计合理，储物空间足，无浪费，拎包入住。厨具，卫浴都是品牌。,,,,,,
13,三房楼层不是很高全天采光看房预约,89万,9682,钟楼区五星,怡美花园,3室2厅1厨1卫,低楼层 (共16层),91.93㎡,平层,75.06㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-02-24,商品房,2010-04-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,小区是13年交付，毛坯交付的，自己 装修设计的，东门进出，北门进出,西边就是龙江路高架，小区里面和北门就是相应的店P，可以满足大家基本需求,,,西边就是龙江路高架，上下高架比较方便的，东边的马路在重修了，公交去怀德路就可以了,,,,,,042459489285,此房全天采光，看房方便，诚心出售，看中了价格稍微能谈的,,,,
14,新城首府国际公寓 1室1厅 南,44万,8047,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,中楼层 (共21层),54.68㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯五十二户,有,暂无数据,2024-01-01,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,民水,民电,,
15,国际公寓位于西新桥，交通便利，BRT相邻，70年产权,42万,9359,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,低楼层 (共21层),44.88㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯五十户,有,暂无数据,2024-01-02,商品房,2013-12-11,普通住宅,满五年,共有,无抵押,已上传房本照片,国际公寓位于西新桥，交通便利，BRT相邻，70年产权,,,,,,,公交出行，乘B12，B1，36，40，1，205路等公交车在万福桥下车即可。,公寓适合老年人养老，配套设施齐全。 小情侣居住也合适，民用水电，权益和正常住宅一样,公寓精装修，设计合理，储物空间足，无浪费，拎包入住。厨具，卫浴都是品牌。,,,,,,
16,装 修 好， 无 抵 押， 满 五 年，出行方便。,37万,8927,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,中楼层 (共60层),41.45㎡,平层,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2024-03-19,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,装 修 好， 无 抵 押， 满 五 年，出行方便。,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,处于关河路和通江路的交接处，19条公交线路可以到，三公里内有常州火车站，龙城高架,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园等学 校,,,,民水,民电,2.45元/m3,
17,装 修 好， 无 抵 押， 满 五 年，出行方便。,40万,10189,钟楼区五星,凯纳商务广场,1室0厅1厨1卫,低楼层 (共60层),39.26㎡,平层,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2024-03-19,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,装 修 好， 无 抵 押， 满 五 年，出行方便。,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,处于关河路和通江路的交接处，19条公交线路可以到，三公里内有常州火车站，龙城高架,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园等学 校,,,,民水,民电,2.45元/m3,
18,装 修 好， 无 抵 押， 满 五 年，出行方便。,40万,9646,钟楼区五星,凯纳商务广场,1室0厅0厨1卫,中楼层 (共60层),41.47㎡,平层,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2024-03-19,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,装 修 好， 无 抵 押， 满 五 年，出行方便。,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,处于关河路和通江路的交接处，19条公交线路可以到，三公里内有常州火车站，龙城高架,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园等学 校,,,,民水,民电,2.45元/m3,
19,五星星韵城南区 精装修3房 高楼层 采光好 配套齐全,155万,16754,钟楼区五星,五星星韵城南区,3室2厅1厨1卫,高楼层 (共34层),92.52㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-24,商品房,2022-03-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正 三室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,,
20,五星星韵城精装出售，新上三房，拎包入住,128万,13764,钟楼区五星,五星星韵城南区,3室2厅1厨1卫,高楼层 (共28层),93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,位置好 天街地铁公园 次新小区 南区纯商品 视野佳,五星星韵城占地250亩，总建60万方，18-34层的高层住宅。坐拥勤业商圈、酒店、广场、菜场等生活配套一应俱全，五星公园、青枫公园绿肺环抱畅享鲜氧生活，邻龙江高架、多公交覆盖、 2号线瞬间畅达全城。新古典主义建筑风格，赋予沉稳贵气，彰显典雅气质。,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",北边就是常州千年古运河，南边就是龙湖天街，西边就是龙江路高架,,,公交：B23、Y1星港路龙江路站，公交258五星平岗站；轨交：地铁2号线五星站;商场：龙湖天街、金地假日广场、大润发勤业店、勤业菜场其他：五星公园、青枫公园,,,,,,,,
21,新城首府国际公寓 1室1厅 南,39.8万,9787,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,低楼层 (共21层),40.67㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯五十户,有,暂无数据,2024-03-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
22,龙湖花千树 3室2厅 南 北,163万,15075,钟楼区五星,龙湖花千树,3室2厅1厨2卫,中楼层 (共34层),108.13㎡,暂无数据,86.66㎡,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-07,商品房,2018-04-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
23,青枫公园 龙湖天街旁 户型方正 业主诚心出售,165万,11839,钟楼区五星,五星星韵城南区,4室2厅1厨2卫,低楼层 (共18层),139.38㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-04-13,商品房,2023-05-01,普通住宅,未满两年,共有,有抵押 50万元,已上传房本照片,棠颂洋房 四开朝南 前无遮挡 已满二,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐,客厅朝南带阳台，主卧朝南。主卧带小阳台 厨房卫生间都带窗，采光好无遮挡,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,,,,,,
24,紫宸三房两卫中间层，房东诚意出售，看房子提前预约,155万,13964,钟楼区五星,龙湖龙誉城紫宸,3室2厅1厨2卫,高楼层 (共34层),111㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,,,
25,机械新村 诚心出售 价格可谈 楼层好,63万,9011,钟楼区五星,机械二村,3室1厅1厨1卫,中楼层 (共5层),69.92㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,五星公园旁机械二村，采光好，楼层好，户型佳,配套齐全，有菜场，公园，不临街，靠医院近 2，交通便利，四通八达，出行更加方便，节省时间 .配套医院近，适合家有老人和孩子的家庭,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",距离五星公园仅500米，距离万达广场直线距离仅2000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便. 小区门口自带中型生活市场，烟酒店等，,,,,,,,,,,,
26,全新毛坯 未入住 未出租 中高楼层 户型通透,172万,15780,钟楼区五星,龙湖龙誉城尚品,3室2厅1厨2卫,中楼层 (共23层),109㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,全新毛坯 未入住 未出租 中高楼层 户型通透 楼间距开阔,龙湖地产1993年诞生于重庆，是一家专注品质的专业地产公司；龙湖龙誉城尚品是2017年交付的品质居住小区，是小高层+高层的第三代住宅产品，配套25万方龙湖天街，出则繁华，入则宁静。,此房属于连廊板楼建筑形式，两梯四户，三开间朝南（阳光进深设计），动静分离（功能间独立互不打扰，不拥挤）。,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、个税：产证满五年且是房主在本市唯一一套住房，免收个税。",,,,,,,,,,,,
27,五星星韵城南区 3室2厅 南,135万,14674,钟楼区五星,五星星韵城南区,3室2厅1厨1卫,中楼层 (共34层),92㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,,,,,,,,,,,,,,,,
28,天街旁，北区，中间楼层，不靠高架，自己装修,168万,15269,钟楼区五星,五星星韵城北区,3室2厅1厨2卫,中楼层 (共22层),110.03㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,四梯四户,有,暂无数据,2023-12-16,商品房,2022-09-16,普通住宅,未满两年,共有,无抵押,已上传房本照片,小区环境优美，人文素质高，人车分流，安静舒适，绿化L好，安保设施好,客厅朝南，主卧次卧朝南，两卫，一房朝北，户型方正，一梯两户，得房率在80这样,北边就是常州千年古运河，南边就是龙湖天街，西边就是龙江路高架,,,,,,,,042497228678,此房三开间朝南户型南北户型毛坯未入住诚心出售,,,,
29,龙湖天街旁五星星韵城3房，双阳台 次新房 新城悦物业,140万,14286,钟楼区五星,五星星韵城北区,3室2厅1厨1卫,中楼层 (共26层),98㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,龙湖天街 次新房 新城悦物业 户型 方正通透,五星星韵城占地250亩，总建60万方，18-34层的高层住宅。坐拥勤业商圈、酒店、广场、菜场等生活配套一应俱全，五星公园、青枫公园绿肺环抱畅享鲜氧生活，邻龙江高架、多公交覆盖、 2号线瞬间畅达全城。新古典主义建筑风格，赋予沉稳贵气，彰显典雅气质,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",公交：B23、Y1星港路龙江路站，公交258五星平岗站；轨交：地铁2号线五星站;商场：龙湖天街、金地假日广场、大润发勤业店、勤业菜场其他：五星公园、青枫公园、运河景观带...,,,,,,,,,,,
30,蓝天新苑 3室2厅 南,108万,12135,钟楼区五星,蓝天新苑,3室2厅1厨1卫,中楼层 (共18层),89㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
31,晋陵文禧四开间朝南，纯毛坯，中间楼层全天采光,185万,13194,钟楼区五星,晋陵文禧,4室2厅1厨2卫,中楼层 (共17层),140.22㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,晋陵文禧次新小区，户型佳，小区为小高层和洋房组成的低密度..,晋陵文禧于2021年下半年正式竣工交房，小区由18栋小高层及2栋洋房组成，总户数1200户的低密度社区。绿化面积达35%，小区规划设计力求从“雅致、健康、活力”为主题塑造高品位的环境与生态居住环境，同时将中式的意韵与现代的构图美学结合,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区北侧新城飞龙吾悦目前正在建设中，预计于2024年落成并投入使用。小区旁有麦德龙，新北万达，钟楼吾悦国际开车15min内皆可到达,,,,,,,,,,,
32,地铁口，长江路勤业四村，楼层好，位置佳出入交通便利,56万,10000,钟楼区五星,勤业四村,2室1厅1厨1卫,中楼层 (共5层),56㎡,暂无数据,暂无数据,板塔结合,东南,混合结构,简装,暂无数据,暂无数据,暂无数据,2022-07-17,商品房,2011-07-17,普通住宅,满五年,共有,无抵押,已上传房本照片,地铁口，长江路勤业四村，楼层好，位置佳出入交通便利。,,"1、本房源位于小区内，全天采光，视野无遮挡。
2、户型方正、朝南采光好
3、此房源为本小区为数不多的好房，产权明晰","【二手房交易所需税费】
1、	首套房90M以下1％、90M以上1.5％；
2、	二套房90M以下1％、90M以上2％；
3、	三套房不论面积统一3％.
4、个税：满二年不满5年1％",,,,,"适合人群
1，本房源是毛坯，适合喜欢自己装修风格的群体，按自己需求装修
2，房子是二房，楼层不高。
3，小区门口就是幼儿园小区内有儿童游乐场，适合有孩子和老人的家庭",,,,,,,
33,格局好 视野开阔 采光足 配套设施齐全 交通便利,580万,23967,钟楼区五星,新城首府一期,5室2厅1厨3卫,高楼层 (共37层),242㎡,平层,204.35㎡,塔楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-02-25,商品房,2011-08-15,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,格局好 视野开阔 采光足 配套设施齐全 交通便利,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,
