,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,装修描述,权属抵押,户型介绍,售房详情,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
10,泰盈八千里 精装三房 三朝南 基本没怎么住 急售,138万,13143,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共32层),105㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-02-20,商品房,2020-03-30,普通住宅,暂无数据,非共有,有抵押 67万元 中国建设银行 客户偿还,已上传房本照片,此房精装三房，三朝南户型，户型方正，楼层佳，全天采光，诚售,"契税：1、首套房90平以下成交价的1%，90平以上成交价的1.5%
          2、二套房90平以下成交价1%，90平以上成交价的2%
          3、三套房不论大小成交价的3%
增值税：产证满两年免收增值税，未满两年征收5.3%
个税：产证满五年且是唯一住房，免收个税",,"公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。
BRT2号线到怀德路龙江路站下，向西南步行500米",,,,,"售房原因：房东工作原因，房子新装修基本没怎么住过，现因为工作稳定在外地，所以打算卖掉
房屋现状：2020年刚装修的，精装基本没怎么住过，当时装修差不多20多万，目前基本空置状态",,,,,,
11,得房率高， 保养新 户型方正.采光无遮挡,166万,13950,钟楼区西林,路劲城市花园,4室2厅1厨2卫,高楼层 (共18层),119㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-03-07,商品房,2017-05-22,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,置好，得房率高， 保养新 户型方正.采光无遮挡,,有两个教育用地，还有幼儿园，配套齐全，配套成熟，小区安保物业负责，有公园，医院，,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
12,精装三房 三朝南户型方正 实用面积大 好楼层 业主诚售,137万,12968,钟楼区西林,泰盈八千里,3室2厅1厨1卫,中楼层 (共26层),105.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-07-14,商品房,2020-08-14,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,精装三房 三朝南户型方正 实用面积大 好楼层 业主诚售,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
13,满五唯一，前排无遮挡，看房有钥匙，诚心出售。。。,120万,11178,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共32层),107.36㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-09-17,商品房,2017-09-14,普通住宅,暂无数据,非共有,有抵押 52万元,已上传房本照片,位置好， 户型方正，通透，采光无遮挡,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好,,,,,,,,,,
14,八千里洋房 总高六楼 中间楼层  户型方正 满五唯一,228万,15231,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共6层),149.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-17,商品房,2015-09-21,普通住宅,满五年,共有,无抵押,已上传房本照片,八千里洋房，位置好，得房率高， 保养新 户型方正.采..,税费解析： 1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区环境优美，绿树成荫，出则繁华入则安静，里面有健身设施和小型儿童游乐场所,精装几乎未入住，中 央空调，家电齐全 拎包入住 厨具和卫具，保养良好。 看房提前联系，价格还能谈,,,,,,,,,
15,大楼间距 舒适小高层 纯毛坯四室双卫 三面采光 诚售,195万,13682,钟楼区西林,泰盈八千里,4室2厅1厨2卫,低楼层 (共18层),142.53㎡,平层,116.26㎡,板塔结合,东 南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-03-09,商品房,2015-01-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,大楼间距 舒适小高层 纯毛坯边户四室双卫 三面采光 户型方正,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
16,此房毛坯三房，户型方正，楼层佳，全天采光,162万,12657,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共32层),128㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2023-11-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房毛坯三房，户型方正，楼层佳，全天采光,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足,,,,,,,,,,
17,泰盈八千里 精装修 3房2卫 中间楼层 配套齐全,150万,12371,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共20层),121.26㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-07,商品房,2017-05-31,普通住宅,暂无数据,共有,有抵押 49.3万元 客户偿还,已上传房本照片,此房户型方正，四室两厅一厨两卫 中间楼层 采光充足 配套完善,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,房东诚心出售 小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,
18,低总价！精装三房！双阳台 一楼带院子30平采光很好！,153万,14216,钟楼区西林,泰盈八千里,3室2厅1厨1卫,低楼层 (共27层),107.63㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-14,商品房,2019-11-04,普通住宅,暂无数据,非共有,有抵押 50万元 平安银行 业主自还,已上传房本照片,低总价！精装三房！双阳台 一楼带院子30平采光很好！,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化，居民素质高；有健身器材，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
19,泰盈八千里，优质房源，低价格，能看房,100万,13889,钟楼区西林,泰盈八千里,2室2厅1厨1卫,低楼层 (共27层),72㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2020-08-03,商品房,2017-12-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"卖点：
此房满五唯一，楼层好，视野宽阔，采光充足，交通便利",房屋产权：商品房。 1、 契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5.3％、,,,,本房是业主婚房，人文环境好；贷款方式正常付款，楼层很好，配套齐全，有菜市场.公园，带电梯，不临街，距离医院近,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,,,,,,
20,路劲花园 精装3房 保养新 楼层佳 全天采光,128万,15015,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共34层),85.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-09,商品房,2018-10-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,路劲精装三房，满五唯一，楼层佳，采光好,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区介绍： 小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务,,,户型介绍： 格局分布合理，格局好，通透性强，居住舒适；视野开阔，采光透亮,,,,,,,
21,边户一梯一户洋房体验 百分之95得房率 加个人可砍,176万,13647,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共19层),128.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-04,商品房,2016-09-19,普通住宅,暂无数据,共有,有抵押,已上传房本照片,视野宽阔，采光充足，配套齐全，交通便利。。。。。。。,首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
22,经典四居双卫 精装 实用面积大 楼幢位置好 全天采光,179万,12797,钟楼区西林,泰盈八千里,4室2厅1厨2卫,高楼层 (共21层),139.88㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2021-12-26,商品房,2020-01-15,普通住宅,暂无数据,共有,有抵押,已上传房本照片,腰厅大四房，双卫，中间楼层，精装修，维护很好，拎包入住。,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化，居民素质高；有健身器材，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,中间楼层，采光好，配套齐全，腰厅大四房，双卫。实用面积大，视野开阔。,,,,,,,
23,满五唯一！顶复！精装修！带阳光房！,238万,11975,钟楼区西林,泰盈八千里,5室2厅1厨3卫,高楼层 (共22层),198.76㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一，顶复得房率高，视野宽阔，采光充足，配套齐全,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
24,八千里刚需小三房 楼层好保养好 产权车位可同售 强推,110万,12880,钟楼区西林,泰盈八千里,3室2厅1厨1卫,中楼层 (共27层),85.41㎡,平层,暂无数据,板塔结合,南,混合结构,简装,两梯四户,有,暂无数据,2021-08-09,商品房,2019-02-21,普通住宅,暂无数据,非共有,有抵押 65万元,已上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足、房型方正,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,,,客厅宽敞大方，明亮通透，采光效果好，使用率高。视野宽阔，舒适安静 适宜居住,,,,,,,
25,位置好，得房率高， 保养新 户型方正.采光无遮挡,183万,17140,钟楼区西林,路劲城市花园,3室2厅1厨2卫,高楼层 (共34层),106.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-11-08,商品房,2020-10-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,位置好，得房率高， 保养新 户型方正.采光无遮挡,契税：首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％,,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 菜场 美食等 人文素养好，,,,,,,,,,,
26,路劲精装三房，房东诚心出售，楼层佳，采光好,141万,14484,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共32层),97.35㎡,平层,90㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-25,商品房,2018-05-17,普通住宅,暂无数据,共有,有抵押 30万元 中国银行,已上传房本照片,路劲精装三房，满五不唯一，楼层佳，采光好,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务.,,,格局分布合理，格局好，通透性强，居住舒适；视野开阔，采光透亮,,,,,,,
27,八千里刚需小三房 楼层好保养好 业主诚售,130万,15221,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共27层),85.41㎡,平层,暂无数据,板塔结合,南,混合结构,简装,两梯四户,有,暂无数据,2022-10-17,商品房,2020-01-14,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足、小巧灵动,,,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",客厅宽敞大方，明亮通透，采光效果好，使用率高。视野宽阔，舒适安静 适宜居住,,,,,,,
28,环境优雅，小区绿化高，让您感受像花园.,135万,11359,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共26层),118.85㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,简装,两梯四户,有,暂无数据,2022-03-11,商品房,2017-12-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1、环境优雅，低密度社区。 2、小区绿化高，让您感受像花园.,,幼儿园：西林幼儿园：大学商场：万泰广场、上海家具大卖场医院：西林医院邮局：中国邮政银行：江南农村银行其他：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米,,,,1、客厅.宽敞.大方.使用率高。2、卧室温馨舒适.搭配心怡。3、厨房设施齐全.让美味来的更加轻松。,,,,,,,
29,泰盈八千里精装三房带大露台，拎包入住，诚心出售,160万,12633,钟楼区西林,泰盈八千里,3室1厅1厨2卫,低楼层 (共15层),126.66㎡,平层,100.94㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-03,商品房,2014-11-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,,,,,042485557850,位置好，得房率高， 保养新 户型方正.采光无遮挡位置很好。..,,,
