,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,交通出行,房源核验码,查询房管备案记录,售房详情,权属抵押,装修描述,适宜人群,别墅类型,用水类型,用电类型,燃气价格
10,万象不靠高架 楼层好 三房两卫一梯一户 西边户 毛坯,210万,16280,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,高楼层 (共18层),129㎡,平层,暂无数据,板楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,万象不靠高架 楼层好 三房两卫一梯一户 西边户 毛坯 看房方便,新楼盘，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
11,一梯一户 精装小高层 南北通透 视野开阔 优质配套,180万,13987,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,低楼层 (共18层),128.7㎡,平层,暂无数据,板楼,南 北,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-07,商品房,2021-01-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,一梯一户，精装小高层，南北通透，视野开阔，优质配套。,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2020年8月的新房，毛坯交付。 产品类型：总高18层的小高层洋房，一梯一户，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
12,万科国宾道 次新房 4室3卫 8米双阳台 精装交付未入住,335万,20161,钟楼区永红,万科国宾道,4室2厅1厨3卫,低楼层 (共11层),166.17㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,2023-10-24,普通住宅,未满两年,非共有,有抵押 260万元,已上传房本照片,次新房，精装交付未入住，南北通风，8米双阳台，宽敞明亮,"楼栋数：15栋
总户数：792户
车位比：1:1.4
绿化：35%
得房：80%
梯户比：2梯4户，1梯1户
物业：万科物业",4室2厅3卫，4开间朝南，8米双阳台，宽厅，大厨房，南北通风，采光面大。居住舒适,,1.交通配套：龙江路高架，北侧中吴大道，5号线皇粮浜站（规划）；2.购物：中吴广场，弘阳广场，龙湖天街，宝龙广场3.公园：皇粮浜湿地公园4.医疗：妇幼保健院,,,,,,开发商精装交付，威能地暖，日立空调，松下新风系统，品牌厨电，高仪水龙头，淋浴器，唯宝卫浴。,,,,,
13,房东包大税 不靠高架！国贤府旁 外国语旁 万科国宾道,275万,19231,钟楼区永红,万科国宾道,4室2厅1厨2卫,中楼层 (共18层),143㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,户型方正通风采光好，开发商精装，全新未住，随时看房。,,,,,项目西侧龙江路高架，北侧中吴大道 还有规划中的地铁4、5号线交通便捷。,,,诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为主，产权清晰。无任何纠纷.放心考虑,,,,,,,
14,楼栋东边位置好，楼层好，采光好，看房方便，价格可谈,169万,15458,钟楼区永红,城市中央美居,3室2厅1厨2卫,高楼层 (共29层),109.33㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼栋东边位置好，楼层好，采光好，看房方便，价格可谈,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
15,国仕九礼 107平 255万 三室两厅两卫精装修设施全,215万,20100,钟楼区永红,路劲雅居乐国仕九礼,3室1厅1厨2卫,中楼层 (共19层),106.97㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,一梯六户,有,暂无数据,2023-02-09,商品房,2021-08-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,双阳台 精装修 地暖 空调 新风系统,"1.小区优势：品质物业服务 优质公共资源 生活便利 闹中取静 
2.开发商：路劲地产集团成立于2003年 为外资房地产开发企业 全国房企30强","1，户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，2个卧室加客厅朝南，双阳，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",客户契税，首套房，90平方以下成交价的百1，90平以上成交价1.5.2套房以上成交价的百3，增值税产证满二年免收增值税，末满二年征收百5.6，个税产证满五年而且是一套房免个税同样满五年成交价的百1,,,,,,,,,,,,
16,一梯一户 毛坯小高层 户型通透 视野开阔 优质配套,175万,13481,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,低楼层 (共18层),129.82㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,2021-06-23,普通住宅,暂无数据,非共有,有抵押 130万元,已上传房本照片,一梯一户，毛坯小高层，户型通透，视野开阔，优质配套。,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2020年8月的新房，毛坯交付。 产品类型：总高18层的小高层洋房，一梯一户，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
17,钟楼区桂花园 精装修 两室 楼层佳户型好,100万,12049,钟楼区永红,桂花园,2室2厅1厨1卫,中楼层 (共24层),83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2022-06-08,商品房,2018-07-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足、配套设施齐全,,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1% 。,,门口十二路公交车，北面42路公交，出行方便，步行一百米以内有免费自行车,,,,,,,,,,
18,河阳花苑105平带装修，前排别墅，采光视野好,123万,11715,钟楼区永红,河阳花苑,3室2厅1厨1卫,中楼层 (共16层),105㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-14,商品房,2023-04-06,普通住宅,未满两年,非共有,有抵押 100万元 邮政银行 业主自还,已上传房本照片,此房楼栋位置比较好，前排无任何真的，视野好，景色好,此房由高层，小高层，别墅组成，小区地段位置在老城区，生活很便捷，小区物业管理还不错，居住舒心,此房是小高层的电梯房，房子是全部朝南的户型，采光佳，视野比较开阔,,,,,,,,,此房地段位置较好，配套齐全，有商场购物，还有学 校，交通也很方便，闹中取静的地方，适合一家人，有老人小孩的,,,,
19,陈渡新苑，满五唯一，楼层好，电梯房，房东诚心出售,168万,11749,钟楼区永红,陈渡新苑,3室2厅1厨2卫,中楼层 (共11层),143㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2022-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，优质户型，低总价，通透格局，楼层好，视野宽..,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
20,钟楼外国语金科启辰包税中高层采光好3房2卫双阳台！,140万,13208,钟楼区永红,中梁金科启宸,3室2厅1厨2卫,高楼层 (共27层),106㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-01-26,商品房,2020-01-16,普通住宅,未满两年,非共有,有抵押 108万元 江南商业银行 客户偿还,未上传房本照片,皇粮浜湿地公园次新房，附件钟楼外国语，采光好。,,三开间朝南，每一个清晨被阳光亲吻醒来，提升了空间和采光度，启宸深谙居者对生活空间的需求，精研布局和建筑结构。,,人文环境好，居民素质高。北向三公里就是妇幼保健，东向2.5是第三人民医 院。弘扬广场也是直线距离两公里。,距离小区最近的公交站是市公路事业发展，552路等会经停本站，交通配套好 出行方便。,,,,,,,,,,
21,路劲城市印象，楼层好，采光好，看房方便，价格可谈,174.5万,14402,钟楼区永红,路劲城市印象,4室2厅1厨2卫,中楼层 (共30层),121.17㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-17,商品房,2019-06-20,普通住宅,满两年,共有,无抵押,已上传房本照片,路劲城市印象，楼层好，采光好，看房方便，价格可谈,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
22,中间楼层，不靠高架，采光无忧，房东诚心出售,155万,13316,钟楼区永红,中梁金科启宸,3室2厅1厨2卫,中楼层 (共27层),116.41㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 130万元 工商 客户偿还,未上传房本照片,中间楼层，不靠高架，采光无忧，房东诚心出售,,,契税首套房90平以内，1%，90平以上1.5%；二套房90平以内1%90平以上2%三套房不论面积3% 2.增值税：满两年不论面积全免，不满两年成交价的5.3%3.个人所得税：产证满五年且为家庭名下唯一住房免个人所得税 否则成交价的1%,旁边有钟楼外国语，北向三公里是妇幼保健，东向2.5是第三人名医院，弘阳广场直线距离两公里。,小区西向高架 常州的高驾四通八达，出行便利，家里有老人和小孩距离小区最近的公交站是市公路事业发展，552路会经停本站 交通配套好 出行方便。,,,,,,,,,,
23,清潭新村 2室1厅 南,58万,10741,钟楼区永红,清潭新村,2室1厅1厨1卫,低楼层 (共6层),54㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
24,路劲铂隽 精装交付 楼层好 诚心出售 看房方便,190万,17365,钟楼区永红,城市中央美居,3室2厅1厨2卫,中楼层 (共30层),109.42㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,三梯六户,有,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,路劲铂隽 精装交付 诚心出售 看房方便,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,三开间朝南 板楼建筑形式，得房率高，通透明亮，户型方正，动静分离。三大件精装交付，拎包入住，尽显便捷。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
25,通透格局，视野宽阔，实用面积大，两层。,190万,8220,钟楼区永红,陈渡新苑,6室2厅1厨2卫,高楼层 (共6层),231.16㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-09,商品房,2017-08-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,通透格局，视野宽阔，实用面积大，两层。,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商，关键是顶复带阳光房,,,,,,,
26,清潭五村续建精致好房 顶楼复式 全天采光 实用性大,78万,9432,钟楼区永红,清潭五村续建小区,5室2厅1厨2卫,高楼层 (共6层),82.7㎡,跃层,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,无,暂无数据,2022-04-28,商品房,2009-09-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正 采光无遮挡 两个房间朝南 装修清爽 生活配套..,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，商场， 等等,,1，契税：首套房，90平以下成交价1%；90平以上成交价1.5%；二套房90平以上成交价2%，2，增填税，产权满两年免收，未满两年征收5.6%；3，个税：产证满五年且唯一住宅免收，产证不满五年成交价1%。,小区是续建小区，且大改造，路面墙面管道全新，环境好，配套成熟买菜购物便捷,,,,此房产权清晰，无纠纷，证件齐全，看房方便，随时签约，业主诚意出售。,,,,,,,
27,实用面积利用率高。采光很好。看房子方便的,280万,27395,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,中楼层 (共16层),102.21㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-06-03,商品房,2020-06-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,"人群：
首付不高，适合刚需家庭。 精装修，适合拎包入住。 地段优质，适合上班族白领。",,,,,,042412387795,"：
小三房户型，实用面积利用率高。采光很好。",,,,"权属抵押：
业主诚心出售，首付额可以协商。目前在银行有一部分按揭抵押，正常还款即可。",,,,
28,2020年新房 精装修交付 三开间朝南 科技空调 品质物业,195万,17833,钟楼区永红,城市中央美居,3室2厅1厨2卫,低楼层 (共33层),109.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,2022-09-27,商品房,2021-08-31,普通住宅,暂无数据,共有,有抵押,已上传房本照片,2020年新房 精装修交付 三开间朝南 科技空调 品质物业,小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住。,一梯两户比例，连廊板楼建筑形式，得房率高，通透明亮，户型方正，动静分离。三大件精装交付，拎包入住，尽显便捷。,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
29,精装修交付，全新未入住，采光无遮挡，随时看房,210万,15215,钟楼区永红,城市中央美居,4室1厅1厨2卫,低楼层 (共25层),138.03㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,2023-06-26,商品房,2020-04-07,普通住宅,满两年,共有,有抵押 135万元,已上传房本照片,精装修交付，全新未入住，采光无遮挡，随时看房,小区精装修成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住,精装修三开朝南，客厅宽敞大方，四房两卫，采光效果好，使用率高。卧室温馨舒适。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
30,优质户型 采光好，楼层好，实用率大，交通方便。,142万,11808,钟楼区永红,紫荆苑(钟楼区),3室2厅1厨2卫,中楼层 (共7层),120.26㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,无,暂无数据,2022-01-28,商品房,2006-09-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优美，舒适安静，适宜居住，出门有公交，菜场，银行，美食等，生活配套齐全。,荆川公园 清潭菜场 华联， 新怡华，中国银行 建设银行 海王星辰药店 三鲜美食城等,,,1、契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。,,042433998733,优质户型 采光好，通透格局，楼层好，实用率大，交通方便。,,,,,,,,
31,洋房，位置好，得房率高， 户型方正，采光无遮挡,288万,21570,钟楼区永红,路劲城市印象,4室1厅1厨2卫,中楼层 (共6层),133.52㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2022-09-27,商品房,2021-11-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"：
开发商为路劲集团，优质外资房企，全国房企20强。小区于2019年交付的新房。小区类型为洋房和高层，适用于改善居住。小区物业优质，生活便利，交通方便。",小区配套完善 交通便利 西侧龙江高架 南边是中吴大道 北边是清潭路所以去新北武进天宁都很便利,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,042461150306,洋房，位置好，得房率高， 户型方正，采光无遮挡,,,,,,,,
