,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
10,兰陵大润发旁，兰陵郡，次新房，前排采光全天无遮挡。,145万,13465,天宁区兰陵街道,龙涛兰陵郡,3室2厅1厨2卫,中楼层 (共26层),107.69㎡,平层,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-13,商品房,2023-11-06,普通住宅,未满两年,非共有,无抵押,已上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便.,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税,,兰陵大润发，丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应，还有在建的华润万象城，地铁一号线.,,,,,,,,,,,
11,万象城旁 轨道一号线站口 全新小区 毛坯三房 三朝南,128万,13907,武进区兰陵街道,兰蕙佳园,3室2厅1厨1卫,中楼层 (共27层),92.04㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯六户,有,暂无数据,2023-04-19,商品房,2023-07-04,普通住宅,未满两年,非共有,无抵押,已上传房本照片,万象城旁 轨道一号线站口 全新小区 毛坯三房 三朝南,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,业主现在诚心出售，证件齐全，欢迎看房，随时恭候，看房方便，专业讲解,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
12,此房满五唯一，优质户型，通透格局，楼层好，视野好,146万,12587,天宁区兰陵街道,弘阳上城,3室2厅1厨2卫,高楼层 (共27层),116㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,此房满五唯一，优质户型，低总价，通透格局，楼层好，视野好,"小区介绍：
小区地理位置优越，弘阳地产开发，小区全天24小时保安，安全性高，环境优美，绿化好","税费解析：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园,,,,,,,,,,,
13,弘阳上城毛坯房，交通便捷，生活舒适,96万,11295,天宁区兰陵街道,弘阳上城,2室2厅1厨1卫,高楼层 (共33层),85㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,毛坯房，小区环境优美，生活配套设施齐全,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；
2.增值税：产证满2年免收增值税，未满2年征收5.6％； 
3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,,,,,,,,,,,
14,兰陵板块 全新小区 交通便利 生活配套齐全,156万,14487,天宁区兰陵街道,龙涛兰陵郡,3室2厅1厨2卫,高楼层 (共26层),107.69㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2023-10-17,商品房,2023-07-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便.,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税,,兰陵大润发，丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应，还有在建的华润万象城，地铁一号线.,,,,,,,,,,,
15,前排全天采光！燕澜风华外滩三区开发商精装修三大件,268万,18378,武进区兰陵街道,外滩壹号花园三区,4室2厅1厨2卫,中楼层 (共30层),145.83㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-19,商品房,2021-06-22,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区地理位置优越，弘阳地产开发，小区全天保安，安全性高,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄. 小区地理位置优越，弘阳地产开发，小区全天保安，安全性高,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离较短。,,,,,,,,,,
16,湖塘洋房，顶楼复式带露台六房四卫有钥匙,468万,18871,武进区兰陵街道,外滩壹号花园五区,6室2厅1厨4卫,高楼层 (共6层),248㎡,跃层,200㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-27,商品房,2021-06-08,普通住宅,暂无数据,共有,有抵押 50万元 银行，公积金,已上传房本照片,满两年，得房房率高，洋房顶层复式，采光好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,此小区在市区地段，西边有九州新世界花园 君玺，时尚莱迪，大型菜市场，东边有地铁站，同济，正衡，北边1200多米有两家医院,BRT光华路兰陵站，B1.B16.B19. 九州新世界广场，小区南门有共享单车. 公交车:1路、31路。,,,,,,,,,,
17,商圈地段，地段好，采光好，精装户型.,488万,16266,天宁区兰陵街道,复兴家园,9室4厅1厨4卫,低楼层 (共3层),300.03㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2022-05-29,商品房,2019-08-08,别墅,满两年,共有,有抵押,已上传房本照片,商圈地段，地段好，采光好，精装户型.,,,1精装家电齐全，提高您的生活品味 2我是整洁美观，睡眠舒适 宽敞，布局简洁大方,,,1厨房连阳台，吃饭之余可晒太阳，闲情又逸致 2布局分配很合理，空间利用很高,房东家庭原因急售，随时看房，诚心出售，看房提前联系，看中价格还可以谈。,,暂无数据,,,,,,
18,房子满二唯一，户型方正，全天采光，带80多平院子。,330万,11637,天宁区兰陵街道,复兴家园,9室2厅1厨3卫,低楼层 (共3层),283.58㎡,,暂无数据,,南 北,未知结构,毛坯,,,暂无数据,2022-04-13,商品房,2020-02-22,别墅,满两年,共有,有抵押 190万元,已上传房本照片,房子满二唯一，户型方正，全天采光，9室2厅3卫1厨，自带80多..,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,小区弘阳广场，九州新世界，清潭菜场，购物便利。常州第三人民医院，仁慈医院，社区成熟，闹中取静，交通便利。,,,,,暂无数据,房子有9室2厅3卫1厨，适合三代同堂，其乐融融。房子是毛坯的，无拆除烦恼，可按照自己喜欢的风格装修。,,,,,
19,房东急卖，看中可刀，想要采光好，这套就得看,100万,14493,武进区兰陵街道,外滩壹号花园,2室1厅1厨1卫,高楼层 (共34层),69㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-24,商品房,2017-04-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,外滩精装三房拎包入住楼层好视野好业主诚售,小区环境优美，绿化成熟，适合居住，健身器材一应俱全，邻里关系友好,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,,距离弘阳广场1500米，万达商圈3000米，吾悦广场2000米，武进中医院，常州三院，易买得配套齐全生活方便,,,,,,,,,,,
20,私房 ，诚心出售，随时看房，看房方便。,190万,11310,天宁区兰陵街道,小徐家村,5室2厅1厨2卫,低楼层 (共2层),168㎡,跃层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-05-12,商品房,2005-11-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,私房，户型周正，格局分布合理，空间感好，通透性强。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,,
21,精装交付未入住，九洲商圈，配套设施齐全，环境优美。,678万,26991,天宁区兰陵街道,九州新世界君玺,5室1厅1厨3卫,高楼层 (共30层),251.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-07-17,商品房,2018-12-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装交付未入住，九洲商圈，配套设施齐全，环境优美。,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,到九洲新世界100米，到地铁一号线100米，到吾悦国际500米，到九洲农贸市场50米。,,,,,,,,,,,
22,武进天宁交汇处外滩壹号交通便利,598万,23637,武进区兰陵街道,外滩壹号花园,4室2厅1厨3卫,低楼层 (共3层),253㎡,,暂无数据,,南 北,未知结构,毛坯,,,暂无数据,2022-02-19,商品房,2020-10-01,别墅,暂无数据,共有,有抵押 300万元,已上传房本照片,"户型周正，格局分布合理,采光好",,契税：首套 90平以上1.5% 二套90平以上2% 三套都是3% 个人所得税：满5年不唯一征收1%,,,小区门口有多条BRT公交，出行方便，环保自行车，往南步行500米就是吾悦广场，往东500米就是万达广场，生活方便,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,暂无数据,,,,,,
23,电梯房户型格局好，楼层好、视野宽阔、采光充足,139万,12533,天宁区兰陵街道,天安河滨花园,3室2厅1厨2卫,中楼层 (共6层),110.91㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,有,暂无数据,2021-09-16,商品房,2000-05-09,普通住宅,满五年,共有,无抵押,已上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足、配套设施齐全,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
24,工人新村南 三朝南户型 三居室中间楼层,90万,10976,天宁区兰陵街道,工人新村南,3室1厅1厨1卫,中楼层 (共5层),82㎡,平层,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,无,暂无数据,2021-12-06,商品房,2018-03-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,工人新村南 三朝南户型 三居室中间楼层,小区从新改造过，整体协调性还是很好的。没有以前的凌乱感，居家当选。,,以前的老装修，不改造也可以，要求高一点的话改造翻新一下也没有问题。,,,户型方正通透没有浪费，三个房间都朝南，采光好受光面多，适合居住。,,,,楼层不高，老人住住也没有关系，三个房间都朝南，一家人都能享受全天日照,,,,,
25,华海边户四房出售 采光好 看中可谈,240万,16902,天宁区兰陵街道,华海花园,4室2厅1厨2卫,中楼层 (共32层),142㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-03-24,商品房,2017-04-30,普通住宅,满五年,共有,无抵押,已上传房本照片,此房户型好，楼层好，诚意出售，机会难得，且小区环境优雅。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,商场：光华路特色餐饮一条街、乐购、欧尚、好又多 医院：三院、二院 邮局：中国邮政 银行：工商银行、建设银行、农业银行、中国银行等、交通银行 其他：兰陵菜场,BRT光华路兰陵站，B1.B16.B19. 九州新世界广场，小区南门有共享单车. 公交车:1路、31路。,,,,,,,,,,
26,户型格局好，优质户型，户型方正，通透明亮,215万,15838,天宁区兰陵街道,弘阳上城,4室2厅1厨2卫,低楼层 (共33层),135.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-01,商品房,2020-06-04,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
27,工人新村南 3房朝南 明厨明卫 中间楼层 采光充足,88万,10321,天宁区兰陵街道,工人新村南,3室1厅1厨1卫,中楼层 (共5层),85.27㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-05-12,商品房,2005-01-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,,
28,此房采光好，户型方正，九洲新世界旁,128万,12816,天宁区兰陵街道,天安河滨花园,3室2厅1厨1卫,高楼层 (共6层),99.88㎡,平层,暂无数据,板楼,南,砖混结构,简装,四梯两户,有,暂无数据,2021-08-08,商品房,2019-08-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房采光好，户型方正，九洲新世界旁,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
29,"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利",220万,15254,天宁区兰陵街道,弘阳燕澜湾,4室2厅2厨2卫,高楼层 (共34层),144.23㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2021-07-01,商品房,2019-11-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利",小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,银行、药店、干洗、面包房、邮局、通讯、维修、烟酒、音响书店等等。大中 型酒楼、地方风味酒楼、火锅、面馆、铰子馆、烤肉、韩国烧烤、日本料理、麻辣 烫、特色早点、连锁快餐,,,,,,,,,,,
30,九州新世界 交通方便 九州商圈 房东诚售,675万,25281,天宁区兰陵街道,九洲新世界,4室2厅1厨3卫,高楼层 (共27层),267㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2021-04-29,商品房,2020-09-03,普通住宅,满两年,共有,无抵押,已上传房本照片,业主诚心出售 位置好，出行方便,,房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,,小区旁成熟社区，配套设施 综合市场，*市，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.大型商场齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,兰陵路于劳动路交汇 BRT 公交车汇集 出行自驾乘车便利快捷！,,,,,,,,,,
31,此房户型好，楼层好，诚意出售机会难得且小区环境优雅,213万,15876,天宁区兰陵街道,兰庭,3室2厅1厨1卫,低楼层 (共28层),134.17㎡,平层,109.36㎡,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2020-12-03,商品房,2009-08-05,普通住宅,暂无数据,共有,有抵押 28万元,已上传房本照片,此房户型好，楼层好，诚意出售，机会难得，且小区环境优雅。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,光华路特色餐饮一条街、乐购*市、欧尚*市、好又多*市 医院：三院、二院 邮局：中国邮政 银行：工商银行、建设银行、农业银行、中国银行等、交通银行 其他：兰陵菜场,BRT光华路兰陵站，B1.B16.B19. 九州新世界广场，小区南门有共享单车. 公交车:1路、31路。,,,,,,,,,,
