,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,周边配套,税费解析,小区介绍,权属抵押,售房详情,交通出行,装修描述,别墅类型,适宜人群,房源核验码,查询房管备案记录
10,西边户别墅出售 旁边带一个大院子 产权清晰 看房方便,720万,28696,经开区潞城,公园壹号花园,5室3厅1厨4卫,低楼层 (共2层),250.91㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2021-05-04,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，阳光充足，精装，拎包入住，看房方便,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,规划的地铁2号线丁堰站800米，距离brt白金汉爵站500米，车行3min上龙城大道，商圈配套齐全，距离爱情海购物公园2公里左右,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,联排,,,
11,公园壹号空间感好楼层佳视野开阔,175万,13566,经开区潞城,公园壹号花园,3室2厅1厨1卫,低楼层 (共26层),129㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-05-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房子楼层佳 视野开阔 采光很棒。精装修,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,小区生活设施齐，商场、chao市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,,,,,,,,
12,诚心出售，价格还可以商量，业主置换去南京买房,210万,16031,经开区潞城,公园壹号四期,3室2厅1厨2卫,低楼层 (共33层),131㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-07-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房三开间朝南，格局通透，户型方正，产权清晰，楼层佳，采光好,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
13,世茂云筑精装未入住三开间朝南业主诚心出,175万,17555,经开区潞城,美的云筑,3室2厅1厨2卫,低楼层 (共27层),99.69㎡,平层,暂无数据,暂无数据,东南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,开发商精装修，设施全，出门就是公园和地铁。,,,契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。,,此房是一期现房，  房子 产权清晰，无抵押贷款、可直接安全交易。,,,此房是开发商精装修。配点家装就可入住。户型三南看房随时有钥匙,,,,
14,全新精装两房未入住！公园壹号好房 采光好等你来,109万,13303,经开区潞城,公园壹号四期,2室2厅1厨1卫,高楼层 (共33层),81.94㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-26,商品房,2016-03-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,公园壹号四期精装修，户型方正楼层好，业主诚心出售,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。,,1.契税首套房90平方以下成交价的1%，90平方以上成交价的1.5%，二套房90平以上成交价的2% 增值税:产证满两年免收增值税，未满两年征收5.6% 个税:产证满五年，而且是一套住房，免收个税，未满五年成交价的1%,小区内有健身器材，可供小区居民使用 小区内停车位充足，建有地下停车场，人车分流，绿化到位,,,,,,,,
15,港龙紫荆城精致一居客卧分离朝南自住装修设施全,62万,9446,经开区潞城,港龙紫荆城,1室2厅1厨1卫,高楼层 (共29层),65.64㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-26,商品房,2017-08-03,普通住宅,满五年,非共有,有抵押 30万元,已上传房本照片,房子满五年 且是唯一住房，一直是自住，装修保养好客卧分离舒适,"房子是紫荆城为数不多的一室两厅的居住住宅，客厅和卧室都是朝南
且客卧分离，居住隐私性更好。",紫荆城西面是新怡华，餐饮、水果店等生活服务很齐全 丁塘河湿地公园、毓秀园、地铁2号线、白金汉爵大酒店等都近。,,,,,,装修保养很好的 天然气、阳台、客厅卧室都是单独分开的 隐私性更好 居住体验很棒。,,,,
16,精装蓝山湖！一楼带1000平左右的院子 居住舒适,580万,20715,经开区潞城,蓝山湖,5室2厅1厨3卫,低楼层 (共7层),280㎡,跃层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，带个大院子，居住舒适，随时看房,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
17,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,103万,11435,经开区潞城,豪景家园,2室1厅1厨1卫,中楼层 (共25层),90.08㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-25,商品房,2018-05-08,普通住宅,暂无数据,共有,有抵押 50万元,已上传房本照片,此房格局通透，户型方正，楼层佳，视野开阔，全天阳光,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
18,3房3卫公园壹号四期产证产权清晰很实用的房子,110万,13425,经开区潞城,公园壹号四期,3室2厅1厨3卫,高楼层 (共33层),81.94㎡,复式,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-02-22,商品房,2019-06-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房格局户型方正，楼上不在产证面积上3房三卫视野开阔，阳光足,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
19,此房格局通透，户型方正，阳光充足，产权清晰,100万,11434,经开区潞城,港龙紫荆城,2室1厅1厨1卫,低楼层 (共29层),87.46㎡,平层,66.59㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-12-06,商品房,2014-04-04,普通住宅,暂无数据,共有,有抵押 19万元 客户偿还,已上传房本照片,此房格局通透，户型方正，阳光充足，房东诚心出售，产权清晰,1户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
20,公园壹号精装三房好楼层视野好户型方正看房有钥匙,115万,12409,经开区潞城,公园壹号四期,3室2厅1厨1卫,高楼层 (共33层),92.68㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-06,商品房,2017-05-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子满五年唯一 方正三房 中上楼层 看房有钥匙,三开间朝南的大三居户型 南面双阳台方正明亮 结构合理，方便布局，居住舒适。,,,,贷款抵押：房子产权清晰 无贷款，无任何产权纠纷 看房的话有钥匙也很方便 业主诚售。,,,,,适宜人群：适合喜欢安静的客户群体，整栋居住人口少，比较简单的邻里关系 楼层不高，出入方便，适合喜欢低楼层的家庭居住。,,
21,公园壹号四期，精装，户型方正，楼层好，采光好,130万,10178,经开区潞城,公园壹号四期,3室2厅1厨2卫,低楼层 (共33层),127.73㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2021-11-30,商品房,2013-01-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局通透，户型方正，房东诚心出售，看房方便，看中价格小刀,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,,,,,,,,
22,楼层佳装修保存的很好  精致小3房 价格美丽,168万,15636,经开区潞城,港龙.新港城,3室2厅1厨2卫,中楼层 (共34层),107.45㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，楼层好，视野开阔，阳光充足，看房.,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
23,港龙新港城！生活配套齐全 楼层佳 视野开阔 阳光充足,90万,10113,经开区潞城,港龙.新港城,3室1厅1厨1卫,高楼层 (共34层),89㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2021-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局通透，户型方正，房东诚心出售，产权清晰，证件齐全,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
24,蓝山湖！地铁口小区 经开学 房东诚心出售 产权清晰,170万,16505,经开区潞城,蓝山湖,3室2厅1厨1卫,高楼层 (共34层),103㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯五户,有,暂无数据,2021-08-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局通透，户型通透，楼层佳，视野开阔，阳光足，居住舒适,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
25,潞城 港龙新港城 好房出售 户型方正 格局通透,168万,15427,经开区潞城,港龙.新港城,3室2厅1厨1卫,低楼层 (共18层),108.9㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-09-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元,未上传房本照片,此房格局通透，户型方正，潞城必看好房，楼层较低，出行方便,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 *市 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,
26,阳光充足  户型方正，配套设施齐全,135万,14517,经开区潞城,公园壹号四期,3室2厅1厨1卫,高楼层 (共33层),93㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯四户,有,暂无数据,2021-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,公园壹号四期精致两房 楼层佳 诚意出售,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、小区生活设施齐，商场、*市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。5.户型周正，格局分布合理，空间感好，通透性佳,,,,,,,,
27,急售牡丹招商公园学府三房 户型好地铁二号线,339万,23884,经开区潞城,牡丹招商·公园学府,3室2厅1厨2卫,高楼层 (共11层),141.94㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-25,商品房,2023-01-16,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房户型好，户型位置好，房东诚心急卖。,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,
28,公园壹号四期 地铁口小区 房东诚心出售 新城物业好,116万,13648,经开区潞城,公园壹号四期,2室2厅1厨1卫,高楼层 (共33层),85㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元 客户偿还,未上传房本照片,房子满五年唯一住房，去年装修，保养很好 拎包即住 邻近湿地..,三开间朝南的两居户型 方正明亮 结构合理，方便布局，居住舒适。,,,,贷款抵押：贷款还有20万，业主自还，产权清晰 看房的话也很方便 业主诚售。,,,,,楼层中下，不高 采光良好 进出公园方便 装修好 节省装修时间和成本，拎包即住。,,
