,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
10,太湖湾度假村 两室 房东诚心出售 方便看房,115万,12405,武进区雪堰镇,太湖湾度假村,2室1厅1厨1卫,高楼层 (共11层),92.71㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2020-11-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元 商业银行 客户偿还,未上传房本照片,适合任何人群居住，景区：动漫嬉戏谷、灵山大佛、中华孝道园,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",复式,塔楼,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
11,太湖湾度假村。湖景房，业主诚心出售,96万,10323,武进区雪堰镇,太湖湾度假村,2室2厅1厨1卫,中楼层 (共11层),93㎡,暂无数据,东南,未知结构,简装,,暂无数据,2020-06-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道..,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",复式,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
12,太湖湾度假村纯毛坯联排湖景别墅 西边户 大院子,320万,17022,武进区雪堰镇,太湖湾度假村,3室2厅1厨3卫,低楼层 (共3层),188㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,2021-09-07,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房纯毛坯联排别墅 西边户大院子 看山看湖 天然氧吧,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",,,,,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
13,太湖庄园叠加别墅 湖景房 享受大自然生态环境,200万,15909,武进区雪堰镇,太湖庄园,3室2厅1厨2卫,中楼层 (共4层),125.72㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2022-07-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85万元,未上传房本照片,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",复式,暂无数据,暂无数据,暂无数据,,,,,,,,
14,太湖湾度假村一室小户型 54平 80万,80万,14815,武进区雪堰镇,太湖湾度假村,1室0厅1厨1卫,中楼层 (共4层),54㎡,暂无数据,南,未知结构,精装,,暂无数据,2020-08-10,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道 ..,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",平层,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,未知,未知,,,
15,太湖湾度假村小面积住宅 精装修 房东诚心出售,65万,11714,武进区雪堰镇,太湖湾度假村,1室1厅1厨1卫,低楼层 (共11层),55.49㎡,暂无数据,南,钢混结构,精装,,暂无数据,2020-06-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",平层,塔楼,一梯四户,有,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
16,望湖名门 毛坯4房 业主诚心出售,135万,8941,武进区雪堰镇,望湖名门,4室2厅1厨2卫,高楼层 (共5层),151㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2022-07-12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元 商业银行 业主自还,未上传房本照片,毛坯4房 格局分布合理 ，满五唯一，随时可看。,,1、小区生活设施齐，商场、抄市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,复式,板塔结合,暂无数据,无,,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全,,,,,,
17,"此房满二有钥匙采光好,出门就有公园",395万,30385,武进区雪堰镇,太湖香树花园,3室2厅1厨1卫,低楼层 (共6层),130㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2024-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,复式,板塔结合,一梯三户,有,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
18,太湖香树花园 5室2厅 南,620万,15449,武进区雪堰镇,太湖香树花园,5室2厅1厨4卫,低楼层 (共3层),401.33㎡,暂无数据,南,钢混结构,毛坯,,暂无数据,2023-12-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,复式,暂无数据,暂无数据,暂无数据,,,,,,,,
19,此房满五唯一，南北通透，格局好，楼层好，采光充足，,120万,9578,武进区雪堰镇,悦欣庭院,3室2厅1厨1卫,高楼层 (共11层),125.3㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-05-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，南北通透格局好，楼层好，视野宽阔，纯毛坯,小区环境优雅，配套成熟，交通便利，居住舒适，小区旁边就是人民休闲娱乐场所,出门右转是幼儿园，商场菜场，旁边就是人民休闲娱乐场所，步行就能医院,,暂无数据,暂无数据,两梯三户,有,,南北通透格局好，楼层好，很多，采光充足，通风效果好，两间朝南,,,,,,
20,房子满五唯一，交通方便楼层好采光好,95万,11112,武进区雪堰镇,悦欣庭院,2室2厅1厨1卫,高楼层 (共11层),85.5㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2023-05-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满五唯一，交通方便，楼层好，采光好,小区环境优雅，适合任何人居住，交通方便，停车方便，小区娱乐设施齐全，,,,暂无数据,板塔结合,两梯四户,有,小区生活设施齐全，菜场商场银行交通便利，空气质量优，景区动漫嬉戏谷,户型，房屋两间朝南，采光通透，户型方正，南北通透，空间感好，,,,,,,
21,此房满五唯一有钥匙，采光好，出门就是公园,116万,12609,武进区雪堰镇,望湖名门,3室1厅1厨1卫,高楼层 (共11层),92㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-09-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一有钥匙，采光好，出门就是公园,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场可居居民使用,满五唯一90个平方以下税费一个点满五唯一90平方以上，税费1.5,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
22,别墅依山旁水 开窗见南山 低头小桥流水 如临仙境,553万,17768,武进区雪堰镇,旷达太湖花园,5室3厅1厨3卫,低楼层 (共3层),311.25㎡,暂无数据,东南 西南,未知结构,毛坯,暂无数据,暂无数据,2023-05-29,商品房,2021-07-16,别墅,暂无数据,共有,无抵押,已上传房本照片,联排别墅 有三个大花园 地处国家一级旅游度假区  开窗鸟语花,远离喧嚣 闲庭阔步 适合居住养老度假 一家人 老少皆宜 适合度假 养生,别墅500米有环球动漫嬉戏谷 300米有佳苑广场 菜场 教育机构 银行 配套齐全·生活方便,,,,,,,,,,,业主闲置变现 诚心出售 即将满二 无抵押  产权清晰 共有财产,,
23,太湖庄园毛坯下叠东边套  南北通透 前后院子  采光好,200万,15241,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),131.23㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-10-31,商品房,2019-10-10,别墅,暂无数据,共有,无抵押,已上传房本照片,此房满两年南北通透下叠带前后院子采光好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
24,望湖名门联排别墅 西边户有钥匙 业主诚心出售,318万,11518,武进区雪堰镇,望湖名门,6室4厅1厨3卫,低楼层 (共3层),276.09㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2023-03-11,商品房,2018-03-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道..,,自带7500方商圈，太鬲美食节，马山镇菜场，医院均能满足生活所需，万达，太湖旅游度假区，自带17个主题特色品巷。【银 行】：马山镇农商行 中国工商银行 中国农业银行 中国建设银行【医院】：马山 第六人民医院自带7500方商圈，太鬲美食节，马山镇菜场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,南部湖底隧道无锡，无锡梅园轻轨S2号延伸线抵达宜兴，交通方便,,,,,
25,满五唯一，全天采光，南北通透，户型方正,186万,8924,武进区雪堰镇,望湖名门,3室4厅1厨3卫,中楼层 (共5层),208.43㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-09-23,商品房,2010-07-14,普通住宅,满五年,非共有,无抵押,已上传房本照片,满五唯一，南北通透，有钥匙，全天采光,适合度假养老居住使用户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,小区生活设施，菜场，商场，银行等交通便捷，小区也有健身器材，小型球场可供小区人使用,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
26,太湖庄园东边户  南北大花园150平左右 得房率高,250万,18854,武进区雪堰镇,太湖庄园,3室2厅1厨2卫,低楼层 (共2层),132.6㎡,暂无数据,南 北,混合结构,毛坯,暂无数据,暂无数据,2023-07-21,商品房,2021-07-29,别墅,暂无数据,共有,无抵押,已上传房本照片,此房观湖靠山 有南北大露台 可做空中花园 南北花园120平方,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,契税:1.首套90平以下1%2.首套90平以上1.5% 3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%,,,,,1小工口议心，、木、等，交通便捷2.小区内有健身器材，小型篮球场，可供小区居民使用3小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻,户型周正，格局分布合理，空间感好，通透性强，居住舒适2.南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁。内有健身器材和小型娱乐设施。物业服务态度好。,,,,,,
27,格局分布合理 ，满五唯一，随时可看,250万,15338,武进区雪堰镇,望湖怡景,4室2厅1厨2卫,高楼层 (共18层),163㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-05-15,商品房,2020-05-15,普通住宅,暂无数据,共有,暂无数据,已上传房本照片,小区环境优雅，配套成熟，交通便利，,,小区生活设施齐，商场、抄市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,暂无数据,板塔结合,两梯三户,有,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,户型周正，格局分布合理，空间感好，通透性强，居住舒适；南北通透,、小区内停车位充足，建有地上停车场和地下车库；、小区内24小时保安巡逻,,,,,
28,房东诚心出售 可观湖看山 视野好,328万,17002,武进区雪堰镇,太湖庄园,5室3厅2厨4卫,低楼层 (共3层),192.92㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-08-15,商品房,2021-02-15,别墅,暂无数据,共有,无抵押,已上传房本照片,适合度假养老居住使用，户型方正采光好视野好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"契税:1.首套90平以下1%2.首套90平以上1.5% 3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%
关闭 保存
猜你想问：",,,,,,适合度假养老居住使用，户型方正 南北通透 地下室挑高6.8米,,,,,,
29,急出 急出！！！房东诚心出售  价格还可以商量,305万,16004,武进区雪堰镇,太湖庄园,5室3厅2厨4卫,低楼层 (共3层),190.58㎡,暂无数据,南 北,框架结构,毛坯,暂无数据,暂无数据,2023-08-14,商品房,2021-01-21,别墅,暂无数据,共有,无抵押,已上传房本照片,此房观湖靠山  有南北大露台 可做空中花园,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,"契税:1.首套90平以下1%2.首套90平以上1.5%
3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%
关闭 保",,,,,1小工口议心，、木、等，交通便捷2.小区内有健身器材，小型篮球场，可供小区居民使用3小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻,户型周正，格局分布合理，空间感好，通透性强，居住舒适2.南北朝向，视野开阔，采光通透3.小区环境优美，绿化覆盖面积多，干净整洁。内有健身器材和小型娱乐设施。物业服务态度好。,,,,,,
30,太湖庄园北入户精装叠加3房3卫 房东诚心出售,160万,13110,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),122.05㎡,暂无数据,南,框架结构,精装,暂无数据,暂无数据,2023-06-01,商品房,2021-01-12,别墅,满两年,非共有,无抵押,已上传房本照片,此房观湖靠山  有南北大露台 可做空中花园,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,"契税:1.首套90平以下1%2.首套90平以上1.5%
3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%",,,,,"1小工口议心，、木、等，交通便捷2.小区内有健身器材，小型篮球场，可供小区居民使用3小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。
4.小区内24小时保安巡逻","户型周正，格局分布合理，空间感好，通透性强，居住舒适2.南北朝向，视野开阔，采光通透
3.小区环境优美，绿化覆盖面积多，干净整洁。内有健身器材和小型娱乐设施。物业服务态度好。",,,,,,
