,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,税费解析,户型介绍,售房详情,装修描述,交通出行,房源核验码
10,好房力荐 南夏墅品质小区中梁百悦城毛坯四房 楼层好,155万,13332,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,中楼层 (共17层),116.27㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-21,商品房,2021-07-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
11,房东诚心出售，户型方正，采光无遮挡，通透性好。,125万,12735,武进区南夏墅街道,新城都荟,3室2厅1厨1卫,高楼层 (共20层),98.16㎡,平层,98.16㎡,板楼,南,钢混结构,毛坯,一梯两户,有,暂无数据,2022-11-05,商品房,2020-07-31,普通住宅,满两年,非共有,有抵押 70万元 南京银行 客户偿还,已上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好。,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
12,南夏墅地铁口旁 精装修3房2卫 中间楼层 户型方正,128万,14383,武进区南夏墅街道,三盛璞悦湾,3室2厅1厨2卫,高楼层 (共17层),89㎡,平层,暂无数据,板楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 70万元,未上传房本照片,南夏墅地铁口旁 精装修3房2卫 中间楼层 3开间朝南 双阳台,,,,,房东因工作调动，不在这边工作用不上住，诚心出售。契税已交，随时可以交易。,开发商精装修交付，全屋地板，厨房和卫生间都装修好了，添点软装就能入住啦,小区位于南夏墅地铁口旁，紧靠武进大道，出行方便。到南夏墅街道近，生活配套完善。,
13,地铁口旁 三盛璞悦湾 户型方正 钥匙在手 随时可看房,111万,11503,武进区南夏墅街道,三盛璞悦湾,3室2厅1厨2卫,低楼层 (共17层),96.5㎡,平层,暂无数据,板楼,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,地铁口旁 三盛璞悦湾 交通便利 生活设施完善 采光好,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1% 房主自荐(业主对房源的描述),户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
14,诚心出售 南夏墅地铁口 荣盛御府洋房精装四房 采光好,175万,13686,武进区南夏墅街道,荣盛御府,4室2厅1厨2卫,中楼层 (共11层),127.87㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,2021-06-21,普通住宅,满两年,非共有,无抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
15,出售 中梁前黄壹号院3房 采光无遮挡 价格好谈,118万,12292,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨1卫,低楼层 (共18层),96㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-31,商品房,2021-04-25,普通住宅,满两年,共有,有抵押,已上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,
16,诚心出售 南夏墅地铁口精装洋房 采光好 户型好可看房,140万,14079,武进区南夏墅街道,荣盛御府,3室2厅1厨1卫,低楼层 (共11层),99.44㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-11,商品房,2021-04-26,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区人车分流，精装修边户 随时可签，看房方便，居住舒适,1.小区生活设施齐全，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型方正，整体布局合理。空间感好。2.居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。3.小区环境优美。绿化面积高。干净整洁。4.内有健身器材和娱乐广场。5.物业服务态度好,,,,
17,新城都荟诚心出售，户型正采光无遮挡，透性好，好楼层,128万,13062,武进区南夏墅街道,新城都荟,3室2厅1厨1卫,低楼层 (共20层),98㎡,平层,暂无数据,板楼,北 南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-03,商品房,2020-06-12,普通住宅,满两年,非共有,有抵押 54万元,已上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
18,中梁商场旁新城都荟边户小区前排采光佳双阳台置换急售,145万,12216,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共19层),118.7㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-12,商品房,2020-05-11,普通住宅,暂无数据,共有,有抵押,已上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好。,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
19,企业力荐 高新区品质小区新城都荟洋房三房两卫 可看房,156万,13066,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共11层),119.4㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
20,随时看房 新城都荟品质洋房 价格可谈 全天采光,140万,11765,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共11层),119㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 75万元 中国银行,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1.小区生活设施齐，商场 菜市场 银行等 交通便捷 2小区内有健身器材 ，可供小区居民使用。3小区车位充足 建有地上和地下停车场 .4小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
21,南夏墅地铁口旁 上悦城花园 房东诚心出售 随时可看房,106.5万,11461,武进区南夏墅街道,上悦城,3室2厅1厨1卫,低楼层 (共20层),92.93㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
22,南夏墅 百悦城 户型方正 房东诚心出售,118万,11133,武进区南夏墅街道,中梁百悦城,3室2厅1厨2卫,低楼层 (共18层),106㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70 客户偿还,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
23,急售 南夏墅品质小区 上悦城毛坯三房 有钥匙可看房,98万,12123,武进区南夏墅街道,上悦城,3室2厅1厨1卫,低楼层 (共20层),80.84㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-11,商品房,2023-07-21,普通住宅,未满两年,共有,有抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
24,诚心出售 南夏墅百悦城毛坯四房两卫 可随时看房价可谈,130万,10712,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,中楼层 (共18层),121.36㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
25,诚心出售 品质小区 精装洋房 新城都荟4房2卫 户型好,198万,15349,武进区南夏墅街道,新城都荟,4室2厅1厨2卫,中楼层 (共11层),129㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 公积金,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
26,出售 中梁前黄壹号院精装3房2卫 采光无遮挡 户型方正,152万,12667,武进区南夏墅街道,中梁前黄壹号院,4室2厅1厨2卫,低楼层 (共10层),120㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,小区生活设施齐，商场菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,,,,
27,诚心出售 新城都荟精装3房 户型好 双阳台 品质小区,160万,13560,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共20层),118㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-08-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
28,出售 中梁前黄壹号院毛坯4房2卫 户型好 进出户方便,157万,10980,武进区南夏墅街道,中梁前黄壹号院,4室2厅1厨2卫,低楼层 (共18层),143㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房东诚心出售，户型方正，通透性好，采光无遮挡,小区环境优雅.小区配套齐全.小区人车分流.小区内部有游乐场.适合老人带小孩玩，自带配套,,1，首套 90平以下1% 。2，首套 90平以上1.5% 。3，二套90平以下1% 。4，二套90平以上2% 。5，三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适 朝向南北，视野开阔，采光透亮,,,,
29,中梁百悦城 房东诚心出售飞机户 型双阳台 随时可看房,190万,15656,武进区南夏墅街道,中梁百悦城,4室2厅1厨2卫,低楼层 (共18层),121.36㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-05,商品房,2020-01-01,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型周正，格局合理空间感好，居住舒适。楼层佳,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
